Model No|Description|Size|Colour|BRAND|EAN|F_RETAIL|WSALE|URL|STATUS|STOCKQTY|ONORDERTY|DUEIN|SUPPLIER|LOCATION
39911-370|BOTTLE THERMO BAG 1L|||DEUTER|4001737943109|15.99|6.00|||Good|NO|  /  /  |VELO_VITA|SYDNEY
399801530060|DEUTER POS BP WEIGHT PACK 2KG TURQ|||DEUTER|4046051061689|29.99|14.99|||None|YES|11/11/19|VELO_VITA|SYDNEY
399811520060|DEUTER POS BP WEIGHT PACK 5KG SPRING|||DEUTER|4046051061696|34.99|17.50|||None|YES|11/11/19|VELO_VITA|SYDNEY
399821550500|DEUTER POS BP WEIGHT PACK 7KG FIRE|||DEUTER|4046051061702|39.99|19.99|||None|YES|11/11/19|VELO_VITA|SYDNEY
41122-7410|RACK PACK PANNIER UNI BLACK-GRANITE (PAIR)|||DEUTER|4046051030494|114.99|62.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4209017-3100-0|CROSS AIR 20 EXP BAY-MIDNIGHT|||DEUTER|4046051088587|179.99|89.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4209017-7490-0|CROSS AIR 20 EXP BLACK-TITANIUM|||DEUTER|4046051088570|179.99|89.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4340218-4701-0|AIRCONTACT LITE 60+10 SL GRAPHITE-BLACK|||DEUTER|4046051086651|399.99|199.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4340318-2231-0|AIRCONTACT LITE 65+10 GREEN-FOREST|||DEUTER|4046051086699|399.99|199.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
4340318-7403-0|AIRCONTACT LITE 65+10 BLACK-GRAPHITE|||DEUTER|4046051086682|399.99|199.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
4420215-32170|AIRLITE 20 SL PETROL-MINT|||DEUTER|4046051059471|204.99|102.50|||None|YES|17/01/20|VELO_VITA|SYDNEY
4420315-33290|AIRLITE 22 ARCTIC-NAVY|||DEUTER|4046051059495|204.99|102.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4420415-33690|AIRLITE 26 SL COOLBL-BLUEBERRY|||DEUTER|4046051079851|214.99|107.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
4420415-55300|AIRLITE 26 SL BLACKBERRY-AUBERGINE|||DEUTER|4046051059501|214.99|107.50|||Low|YES|17/01/20|VELO_VITA|SYDNEY
4420515-74900|AIRLITE 28 BLACK-TITAN|||DEUTER|4046051059532|214.99|107.50|||Good|YES|17/01/20|VELO_VITA|SYDNEY
4510017-4220-0|TRANSIT 40 ANTHRACITE-MOSS|||DEUTER|4046051079868|299.99|149.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
46330-3|ABUS KEYGARAGE 797 PORTABLE|||ABUS|4003318463303|84.99|49.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
46331-0|ABUS KEYGARAGE 787 WALL MOUNTED|||ABUS|4003318463310|79.99|47.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
49609-7|ABUS POS SHOP DISPLAY STAND MODULAR II S|||ABUS|4003318496097|599.99|299.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
49861-9|ABUS POS SHOP DISPLAY 4 HOOK EACH|||ABUS||5.99|2.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5021010000M|GIORDANA FRC JERSEY BLACK|||GIORDANA|842987077596|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5021010000XXL|GIORDANA FRC JERSEY BLACK|||GIORDANA|842987077626|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5021010900L|GIORDANA FRC JERSEY BLACK-FLUORO|||GIORDANA|842987077725|199.99|109.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5021010900M|GIORDANA FRC JERSEY BLACK-FLUORO|||GIORDANA|842987077718|199.99|109.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5021010900S|GIORDANA FRC JERSEY BLACK-FLUORO|||GIORDANA|842987077701|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5021010900XL|GIORDANA FRC JERSEY BLACK-FLUORO|||GIORDANA|842987077732|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5021010900XXL|GIORDANA FRC JERSEY BLACK-FLUORO|||GIORDANA|842987077749|199.99|109.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5021030000XXL|GIORDANA FRC BIB BLACK-BLACK|||GIORDANA|842987078142|219.99|119.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5042010901M|GIORDANA SILVERLINE JERSEY FLUORO-WHITE|||GIORDANA|842987078609|149.99|79.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5042010901S|GIORDANA SILVERLINE JERSEY FLUORO-WHITE|||GIORDANA|842987078593|149.99|79.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5042010901XL|GIORDANA SILVERLINE JERSEY FLUORO-WHITE|||GIORDANA|842987078623|149.99|79.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5042010901XXL|GIORDANA SILVERLINE JERSEY FLUORO-WHITE|||GIORDANA|842987078630|149.99|79.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5042010901XXXL|GIORDANA SILVERLINE JERSEY FLUORO-WHITE|||GIORDANA|842987078647|149.99|79.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
5061010001XXL|GIORDANA FRC TRADE JERSEY BLACK|||GIORDANA|842987079156|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
51094-6|ABUS POS SHOP DISPLAY MD10 COMPLETE|||ABUS|4003318510946|599.99|299.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
51292 6|ABUS POS HANG DISPLAY HOOK EACH|||ABUS|4003318512926|5.99|2.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
51602-3|ABUS 4850 CHAIN TO FIT AMPARO FRAME LOCK 4850|||ABUS|4003318516023|69.99|34.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
51799-0|ABUS BORDO LITE 6150 WITH COMBINATION BLACK 85CM|||ABUS|4003318517990|179.99|104.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
52587-2|ABUS POS BANNER HORIZONTAL|||ABUS|4003318525872|49.99|24.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
5521030000L|GIORDANA WOMENS FRC BIB BLACK-BLACK|||GIORDANA|842987081227|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
55325-7|ABUS LOCK CARRIER FOR BORDO X-PLUS 6500 85CM|||ABUS|4003318553257|44.99|24.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5561010401XL|GIORDANA WOMENS FRC TRADE JERSEY BLUE|||GIORDANA|842987082057|159.99|89.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5561010401XS|GIORDANA WOMENS FRC TRADE JERSEY BLUE|||GIORDANA|842987082019|159.99|89.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
5563011400S|GIORDANA WOMENS FRC TRADE JERSEY PINK|||GIORDANA|842987081968|159.99|89.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
56240 2|ABUS SPARE PART THIGHTENING STRAPS FOR LH ADAPATOR|||ABUS|4003318562402|24.99|12.50|||None|YES|25/11/19|VELO_VITA|SYDNEY
56339-3|ABUS 1200 WEB CHAIN COMBINATION LOCK 60CM RED|||ABUS|4003318563393|34.99|17.50|||Good|YES|27/01/20|VELO_VITA|SYDNEY
56342-3|ABUS 1200 WEB CHAIN COMBINATION LOCK 110CM|||ABUS|4003318563423|39.99|20.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
57985|ABUS POS BORDO DEMO HOOK DISPLAY|||ABUS|4003318579851|199.99|99.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
59217-1|ABUS RAYDO PRO 1460 STEEL-O-FLEX + TEXKF 85CM|||ABUS|4003318592171|119.99|69.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
59348-2|ABUS POS SLATWALL DISPLAY FRAME|||ABUS|4003318593482|199.99|99.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
6323002|LEKI BREEZE CHAIR|||LEKI|4028173706556|199.99|109.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
636-2601|LEKI TRAVELLER (PAIR)|||LEKI|4028173725267|219.99|119.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
6362849|LEKI MAKALU (PAIR)|||LEKI|4028173724390|229.99|114.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
640-2011|LEKI EAGLE (PAIR)|||LEKI|4028173752492|99.99|52.49|||Good|YES|25/11/19|VELO_VITA|SYDNEY
643-2021|LEKI TRAIL (PAIR)|||LEKI|4028173770144|159.99|79.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
643-2279|LEKI CITYSEN VARIO (SINGLE)|||LEKI|4028173773916|99.99|49.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
6432081|LEKI WANDERFREUND MAKALU (SINGLE)|||LEKI|4028173772261|129.99|64.99|||None|YES|25/11/19|VELO_VITA|SYDNEY
6432245|LEKI MICRO VARIO TI EVO (PAIR)|||LEKI|4028173772049|239.99|119.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
649-2019|LEKI JOURNEY (PAIR)|||LEKI|4028173804832|159.99|79.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2026|LEKI KHUMBU ANTISHOCK (PAIR)|||LEKI|4028173804856|219.99|109.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2062|LEKI MICRO VARIO CARBON (PAIR)|||LEKI|4028173793044|349.99|184.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2067|LEKI MICRO VARIO CARBON LADY (PAIR)|||LEKI|4028173795413|349.99|184.99|||None|YES|25/11/19|VELO_VITA|SYDNEY
649-2075|LEKI MICRO VARIO TA (PAIR)|||LEKI|4028173792979|299.99|159.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
649-2119|LEKI CRESSIDA LADY (PAIR)|||LEKI|4028173804887|259.99|129.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2135|LEKI SHERPA LITE XTG (PAIR)|||LEKI|4028173795581|279.99|139.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
649-2153|LEKI KHUMBU LITE (PAIR)|||LEKI|4028173804801|199.99|99.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2160|LEKI CARBON TA XTG (PAIR)|||LEKI|4028173795604|299.99|159.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2183|LEKI JOURNEY LITE ANTISHOCK (PAIR)|||LEKI|4028173804863|179.99|89.99|||None|YES|15/04/20|VELO_VITA|SYDNEY
649-2585 110|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798377|329.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2585 115|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798384|329.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2585 120|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798391|329.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2585 125|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798407|329.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2585 130|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798414|329.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2585 135|LEKI MICRO TRAIL PRO (PAIR)|||LEKI|4028173798421|329.99|169.99|||Good|YES|15/04/20|VELO_VITA|SYDNEY
649-2849|LEKI MAKALU (PAIR)|||LEKI|4028173804795|239.99|119.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
649-2900|LEKI BLACK SERIES MVC (PAIR)|||LEKI|4028173804948|419.99|224.99|||Good|YES|15/04/20|VELO_VITA|SYDNEY
649-2980|LEKI MICRO VARIO CARBON STRONG (PAIR)|||LEKI|4028173793099|349.99|184.99|||Low|YES|15/04/20|VELO_VITA|SYDNEY
6701030000XL|GIORDANA WOMENS LUNGO BIB BLACK|||GIORDANA|842987089889|229.99|129.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
6701030000XS|GIORDANA WOMENS LUNGO BIB BLACK|||GIORDANA|842987089841|229.99|129.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
7101018 0000 0|DEUTER POS BANNER TREKKING ACT LITE|||DEUTER|4046051089935|0.00|0.00|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7101019 0000 0|DEUTER POS BANNER TREKKING AIRCONTACT|||DEUTER|4046051098296|89.99|44.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7120116-0000-0|DEUTER POS CAP GREY|||DEUTER|4056286427877|19.99|9.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
71206-7|ABUS 5805 WITH COMBINATION 75CM BLACK|||ABUS|4003318712067|79.99|39.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
7130418 1000 0|DEUTER POS LOGO BOARD|||DEUTER|4046051091655|0.00|0.00|||Low|NO|  /  /  |VELO_VITA|SYDNEY
7131019 9990 0|DEUTER POS LOGO BOARD BIKE|||DEUTER|4046051100920|39.99|19.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7131119 9990 0|DEUTER POS LOGO BOARD HIKING|||DEUTER|4046051100937|39.99|19.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
71617-1|ABUS 4804 WITH COMBINATION 75CM BLACK|||ABUS|4003318716171|49.99|24.99|||None|YES|25/11/19|VELO_VITA|SYDNEY
7180019-3054-0|DEUTER POS GIVEAWAY 2.0 BAG BLUE|||DEUTER||39.99|19.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7219018 9990 1|DEUTER POS FIT CENTRE BACKBOARD AND STICKER|||DEUTER|4046051092089|169.99|84.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72468-8|ABUS 4804 WITH COMBINATION 75CM RED|||ABUS|4003318724688|49.99|24.99|||Good|YES|27/01/20|VELO_VITA|SYDNEY
72494-7|ABUS 5805 WITH COMBINATION 75CM BLUE|||ABUS|4003318724947|79.99|39.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
72498-5|ABUS 5805 WITH COMBINATION 110CM BLACK|||ABUS|4003318724985|89.99|44.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
72499 2|ABUS COMBIFLEX 2501 COIL LOCK 65CM (42921-7)|||ABUS|4003318724992|39.99|22.50|||Good|YES|25/11/19|VELO_VITA|SYDNEY
72695 8|ABUS NUTFIX 3/8" SILVER|||ABUS|4003318726958|49.99|29.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72713 9|ABUS NUTFIX SEAT CLAMP M5 31.8MM SILVER|||ABUS|4003318727139|69.99|39.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72716 0|ABUS NUTFIX SEAT CLAMP M5 31.8MM RED|||ABUS|4003318727160|69.99|39.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72717 7|ABUS NUTFIX SEAT CLAMP M5 31.8MM BLACK|||ABUS|4003318727177|69.99|39.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72723 8|ABUS NUTFIX SEAT CLAMP M5 34.9MM BLACK|||ABUS|4003318727238|69.99|39.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72725 2|ABUS NUTFIX AXLE SET 100/135MM SILVER|||ABUS|4003318727252|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72728 3|ABUS NUTFIX AXLE SET 100/135MM RED|||ABUS|4003318727283|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72729 0|ABUS NUTFIX AXLE SET 100/135MM BLACK|||ABUS|4003318727290|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
72900-3|ABUS BORDO 6000 SH CARRIER|||ABUS|4003318729003|39.99|20.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
72983-6|ABUS BORDO 6000 BLACK 90CM + SH CARRIER (51798-3)|||ABUS|4003318729836|159.99|94.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
72994-2|ABUS BORDO 6015 LOCK 90CM + BOSCH BATTERY LOCK FRAME TYPE SH|||ABUS|4003318372994|229.99|134.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
72995-9|ABUS BORDO 6015 LOCK 90CM + BOSCH BATTERYLOCK RACK TYPE SH|||ABUS|4003318729959|229.99|134.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
73058 0|CITADEL CS80/10/K/B CABLE WITH KEY LOCK 80CM (15)|||CITADEL|403318730580|0.00|7.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73059 7|CITADEL CS80/10/C/B CABLE WITH COMBINATION LOCK 80CM (19)|||CITADEL|403318730597|0.00|7.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73062 7|CITADEL CC180/10/K/B COIL WITH KEY LOCK 180CM/10MM (12)|||CITADEL|403318730627|0.00|11.25|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73063 4|CITADEL CC180/10/C/B COIL WITH COMBINATION LOCK 180CM/10MM (17)|||CITADEL|403318730634|0.00|12.49|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73064 1|CITADEL CC180/12/K/B COIL WITH KEY LOCK 180CM/12MM (12)|||CITADEL|403318730641|0.00|12.49|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73065 8|CITADEL CC180/12/C/B COIL WITH COMBINATION LOCK 180CM/12MM (14)|||CITADEL|403318730658|0.00|12.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73066 5|CITADEL CA80/15/K/B STEEL-O-FLEX KEY LOCK 80CM/15MM (12)|||CITADEL|403318730665|0.00|17.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73067 2|CITADEL CA80/15/C/B STEEL-O-FLEX COMBINATION LOCK 80CM (14)|||CITADEL|403318730672|0.00|19.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73068 9|CITADEL CA80/20/K/B STEEL-O-FLEX KEY LOCK 80CM/20MM (6)|||CITADEL|403318730689|0.00|20.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73070 2|CITADEL CCH75/6/K CHAIN WITH KEY LOCK 75CM (14)|||CITADEL|403318730702|0.00|15.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73071 9|CITADEL CCH75/6/C CHAIN WITH COMBINATION LOCK 75CM (18)|||CITADEL|403318730719|0.00|15.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73072 6|CITADEL CCH85/8/K CHAIN WITH KEY LOCK 85CM (10)|||CITADEL|403318730726|0.00|18.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73073 3|CITADEL CCH85/8/C CHAIN WITH COMBINATION LOCK 85CM (12)|||CITADEL|403318730733|0.00|19.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73077 1|CITADEL CU200/230/K/B U-BOLT KEY 200/230 (8)|||CITADEL|403318730771|0.00|20.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
73078 8|CITADEL CU150/140/K/B U-BOLT KEY 150/140 (14)|||CITADEL|403318730788|0.00|18.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7320018 0000 1|DEUTER POS DECO PACKAGE AIRCONTACT LITE|||DEUTER|4046051089928|0.00|0.00|||Low|NO|  /  /  |VELO_VITA|SYDNEY
7320019 0000 1|DEUTER POS DECO PACKAGE AIRCONTACT|||DEUTER|4046051098401|199.99|99.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
7320118 0000 1|DEUTER POS DECO PACKAGE FUTURA PRO|||DEUTER|4046051089959|0.00|0.00|||Good|NO|  /  /  |VELO_VITA|SYDNEY
76486|ABUS NUTFIX FRONT AXLE 100MM BLACK|||ABUS|4003318764868|49.99|29.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
76489|ABUS NUTFIX FRONT AXLE 100MM RED|||ABUS|4003318764899|49.99|29.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
76490|ABUS NUTFIX FRONT AXLE 100MM SILVER|||ABUS|4003318764905|49.99|29.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
77111-8|ABUS BORDO U-GRIP 5700 RED 80CM|||ABUS|4003318771118|99.99|59.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
77838-4|ABUS BORDO 6000 ALARM 90CM + SH CARRIER|||ABUS|4003318778384|269.99|169.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
78060-8|ABUS BORDO LITE MINI 6055 60CM|||ABUS|4003318780608|99.99|59.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
78061-5|ABUS BORDO LITE MINI 6055 RED 60CM|||ABUS|4003318780615|99.99|59.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
78063-9|ABUS BORDO LITE 6055 85CM|||ABUS|4003318780639|149.99|89.99|||Good|YES|25/11/19|VELO_VITA|SYDNEY
78064-6|ABUS BORDO LITE 6055 RED 85CM|||ABUS|4003318780646|149.99|89.99|||Low|YES|25/11/19|VELO_VITA|SYDNEY
78066-0|ABUS BORDO 6055 CARRIER|||ABUS|4003318780660|29.99|17.50|||None|YES|25/11/19|VELO_VITA|SYDNEY
78067-7|ABUS BORDO GRANIT X PLUS BIG 6500 BLACK + SH CARRIER|||ABUS|4003318780677|269.99|169.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
78068-4|ABUS BORDO X PLUS 6500 85CM + SH CARRIER|||ABUS|4003318780684|249.99|149.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
78072-1|ABUS LOCK SH CARRIER FOR BORDO X-PLUS 6500 110CM|||ABUS|4003318780721|49.99|24.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
78073-8|ABUS BORDO BIG 6000 120CM + SH CARRIER|||ABUS|4003318780738|219.99|129.99|||None|YES|15/11/19|VELO_VITA|SYDNEY
79649-4|ABUS BICYCLE CATALOGUE 2018 - MOBILE SECURITY|||ABUS|4003318796494|9.99|4.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
79770-5|ABUS POS BORDO ALARM DEMO DISPLAY (goes with 79774-3)|||ABUS||199.99|99.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
79774-3|ABUS POS BORDO ALARM DISPLAY SLATWALL (goes with 79770-5)|||ABUS||22.99|11.99|||None|NO|  /  /  |VELO_VITA|SYDNEY
81010114049000|LEKI SP LOW SECT 14MM SUPER LOCK SCREW|||LEKI|4028173038978|39.95|19.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81010312030998|LEKI SP LOW SECT CARBON 4|||LEKI|4028173038961|79.95|39.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81010314030584|LEKI SP LOW SECT SUPER MICRO NO TIP|||LEKI|4028173023882|39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81010814039284|LEKI SP LOW SECT WANDERFREUND AS|||LEKI||39.95|19.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81010814049025|LEKI SP LOW SECT 14MM SUPER LOCK AS|||LEKI|4028173225309|39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81010912042036|LEKI SP LOW SECT 12MM SPEED LOCK|||LEKI|4028173039005|49.95|24.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81010912045536|LEKI SP LOW SECT CORKLITE AS WITH TIP|||LEKI||49.95|24.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81010914039233|LEKI SP LOW SECT WANDERFREUND SL W TIP|||LEKI|4028173023462|49.95|24.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81010914049036|LEKI SP LOW SECT 6312025 WITH TIP|||LEKI|4028173225316|49.95|24.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81010914053436|LEKI SP LOW SECT 14MM SPEED LOCK|||LEKI|4028173023905|49.95|24.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81011012045498|LEKI SP LOW SECT 12MM CARB SUPER LOCK AS|||LEKI|4028173039029|99.99|49.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81011012045536|LEKI SP LOW SECT 12MM SUPER LOCK AS|||LEKI|4028173023486|49.95|24.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81020116049500|LEKI SP MID SECT 16MM SUPER LOCK SCREW|||LEKI|4028173999477|49.95|24.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81020314032498|LEKI SP MID SECT -2 CARBON 4|||LEKI|4028173038954|79.95|39.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81020314046236|LEKI SP MID SECT 14MM SUPER LOCK|||LEKI|4028173144235|39.95|19.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81020316031584|LEKI SP MID SECT SUPER MICRO|||LEKI|4028173023950|39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81020316035498|LEKI SP MID SECT -1 CARBON 4|||LEKI|4028173038930|79.95|39.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81020316039784|LEKI SP MID SECT WANDERFREUND|||LEKI||39.95|19.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81020316049500|LEKI SP MID SECT 16MM SUPER LOCK|||LEKI|4028173039036|39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81020914046236|LEKI SP MID SECT 14MM SPEED LOCK|||LEKI|4028173225361|39.95|19.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81020916039733|LEKI SP MID SECT WANDERFREUND SL|||LEKI|4028173023530|39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81020916049936|LEKI SP MID SECT 16MM SPEED LOCK|||LEKI|4028173225392|39.95|19.95|||Good|NO|  /  /  |VELO_VITA|SYDNEY
81021014042736|LEKI SP MID SECT 6312114|||LEKI||39.95|19.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81021014046236|LEKI SP MID SECT 14MM SPEED LOCK W SUPER|||LEKI||39.95|19.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81021014046298|LEKI SP MID SECT 14MM CARB SPEED LOCK WITH SUPER|||LEKI|4028173039050|99.99|49.99|||Low|NO|  /  /  |VELO_VITA|SYDNEY
81051212042036|LEKI SP LOW SECT 12MM CRESSIDA SL AS|||LEKI|4028173722822|49.95|24.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
81061214046236|LEKI SP MID SECT 14MM SPEED LOCK THERMOLITE|||LEKI||39.95|19.95|||None|NO|  /  /  |VELO_VITA|SYDNEY
811000001|FINISH LINE 5-PIECE BRUSH SET|||FINISHLINE|036121311107|44.99|22.50|||Good|NO|  /  /  |VELO_VITA|SYDNEY
819038080|FINISH LINE 38inch LONG REACH SPRAYER FOR BIKE WASH AND DEGREASERS|||FINISHLINE|036121999992|9.99|4.50|||Low|NO|  /  /  |VELO_VITA|SYDNEY
82359-6|ABUS 770A U-BOLT SMARTX ALARM 230 + USH CARRIER|||ABUS|4003318823596|419.99|279.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
82605-4|ABUS 440 U-BOLT ALARM 160 + USH CARRIER|||ABUS|4003318826054|149.99|89.99|||Good|NO|  /  /  |VELO_VITA|SYDNEY
8300181808130|LEKI AERGON THERMO GRIP 18MM (PAIR)|||LEKI|4028173207794|85.95|42.95|||Low|NO|  /  /  |VELO_VITA|SYDNEY
